"Wijken en buurten";"Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 20 km (aantal)"
"Utrecht";"     2.1";"     5.1";"     8.8";"    13.3"
"Wijk 01 West";"     1.8";"     7.0";"     9.0";"    14.0"
"Welgelegen, Den Hommel";"     1.9";"     7.0";"     9.0";"    14.0"
"Oog in Al";"     2.3";"     7.0";"     9.0";"    14.0"
"Halve Maan-Zuid";"     2.5";"     7.0";"     9.0";"    14.0"
"Halve Maan-Noord";"     2.6";"     7.0";"     9.0";"    14.0"
"Lombok-Oost";"     0.9";"     7.0";"     9.0";"    14.0"
"Leidseweg en omgeving";"     1.0";"     7.0";"     9.0";"    14.0"
"Lombok-West";"     1.3";"     7.0";"     9.0";"    14.0"
"Laan van Nieuw-Guinea, Spinozaweg e.o.";"     1.9";"     7.0";"     9.0";"    14.0"
"Nieuw Engeland, Th. a. Kempisplantsoen e";"     1.4";"     7.0";"     9.0";"    14.0"
"Schepenbuurt, Cartesiusweg e.o.";"     2.4";"     7.0";"     8.2";"    14.0"
"Bedrijventerrein Lageweide";"     3.8";"     2.8";"     8.0";"    12.3"
"Wijk 02 Noordwest";"     2.6";"     6.6";"     8.1";"    14.0"
"Pijlsweerd-Zuid";"     0.8";"     7.0";"     9.0";"    14.0"
"Pijlsweerd-Noord";"     1.2";"     7.0";"     8.5";"    14.0"
"Nijenoord, Hoogstraat en omgeving";"     1.6";"     7.0";"     8.0";"    14.0"
"Ondiep";"     2.0";"     7.0";"     8.0";"    14.0"
"2e Daalsebuurt en omgeving";"     1.7";"     7.0";"     8.2";"    14.0"
"Egelantierstraat, Mariëndaalstraat e.o.";"     2.2";"     7.0";"     8.0";"    14.0"
"Julianapark en omgeving";"     2.7";"     7.0";"     8.0";"    14.0"
"Elinkwijk en omgeving";"     3.2";"     7.0";"     8.0";"    14.0"
"Prins Bernhardplein en omgeving";"     3.8";"     6.3";"     8.0";"    14.0"
"Geuzenwijk";"     2.7";"     7.0";"     8.0";"    14.0"
"Schaakbuurt en omgeving";"     3.4";"     6.5";"     8.0";"    14.0"
"Queeckhovenplein en omgeving";"     4.0";"     6.0";"     8.0";"    14.0"
"Zuilen-Noord";"     4.5";"     3.7";"     8.0";"    14.0"
"Wijk 03 Overvecht";"     3.4";"     5.1";"     8.0";"    13.4"
"Taag- en Rubicondreef en omgeving";"     2.4";"     6.1";"     8.0";"    13.5"
"Wolga- en Donaudreef en omgeving";"     2.7";"     6.0";"     8.1";"    13.3"
"Zamenhofdreef en omgeving";"     3.0";"     6.1";"     8.0";"    14.0"
"Neckardreef en omgeving";"     3.3";"     5.4";"     8.0";"    13.2"
"Vechtzoom-zuid";"     3.4";"     5.9";"     8.0";"    14.0"
"Vechtzoom-noord, Klopvaart";"     4.2";"     3.8";"     8.0";"    13.1"
"Bedrijventerrein en omgeving";"     5.4";"     0.8";"     8.0";"    13.3"
"Zambesidreef en omgeving";"     3.8";"     4.7";"     8.0";"    13.5"
"Tigrisdreef en omgeving";"     4.4";"     3.0";"     8.0";"    13.0"
"Poldergebied Overvecht";"     3.7";"     4.5";"     8.0";"    13.9"
"Wijk 04 Noordoost";"     1.5";"     6.1";"     8.6";"    14.2"
"Vogelenbuurt";"     0.7";"     6.7";"     8.6";"    14.0"
"Lauwerecht";"     1.1";"     6.8";"     8.1";"    14.0"
"Staatsliedenbuurt";"     1.4";"     6.2";"     8.1";"    14.0"
"Tuinwijk-West";"     1.2";"     6.1";"     8.8";"    13.9"
"Tuinwijk-Oost";"     1.0";"     6.1";"     9.0";"    14.3"
"Tuindorp en Van Lieflandlaan-West";"     1.9";"     6.0";"     8.6";"    13.3"
"Tuindorp-Oost";"     2.1";"     6.0";"     8.0";"    14.2"
"Voordorp en Voorveldsepolder";"     2.8";"     5.8";"     8.0";"    14.6"
"Huizingalaan, K. Doormanlaan en omgeving";"     1.7";"     6.0";"     8.3";"    14.7"
"Zeeheldenbuurt, Hengeveldstraat e.o.";"     1.4";"     6.0";"     8.7";"    14.5"
"Wittevrouwen";"     0.8";"     6.0";"     9.1";"    14.7"
"Wijk 05 Oost";"     1.6";"     5.8";"    10.1";"    14.3"
"Buiten Wittevrouwen";"     0.8";"     6.0";"    10.1";"    15.1"
"Oudwijk";"     1.2";"     6.0";"    10.9";"    14.5"
