buurtcode,naam,totaal
BU05050607,"1e Merwedehaven en omgeving",114
BU03440223,"2e Daalsebuurt en omgeving",451
BU05050608,"2e Merwedehaven en omgeving",333
BU05059801,"3e Merwedehaven",21
BU05530404,"3e Poellaan",32
BU02990018,"7Poort",222
BU02223111,"A18 Bedrijvenpark",1
BU07960608,"A2 zone Rosmalen-Noord",641
BU07960507,"A2 zone Rosmalen-Zuid",839
BU01412001,"Aadorp-Oost",557
BU01412000,"Aadorp-West",366
BU03730702,"Aagtdorp",329
BU07170600,"Aagtekerke",595
BU01933110,"Aa-landen-Midden",1620
BU01933120,"Aa-landen-Noord",2871
BU01933130,"Aa-landen-Oost",2216
BU01933100,"Aa-landen-Zuid",1343
BU01411403,"Aalderinkshoek Noordoost",474
BU01411405,"Aalderinkshoek Noordwest",323
BU01411404,"Aalderinkshoek Zuidoost",249
BU01411406,"Aalderinkshoek Zuidwest",375
BU09070108,"Aaldonk-Violenberg",729
BU03940676,"Aalsmeerderbrug",390
BU03634403,"Aalsmeerwegbuurt Oost",182
BU03634402,"Aalsmeerwegbuurt West",185
BU02970102,"Aalst",1043
BU08660001,"Aalst",166
BU01970302,"Aalten-kern Zuid 1",38
BU01970303,"Aalten-kern Zuid 2",10
BU02740302,"Aan de Beek",350
BU09835104,"Aan de Stuw",71
BU17111146,"Aan het Echterbos",4
BU17140200,"Aardenburg",1047
BU04844503,"Aarlanderveen Dorp",138
BU16590100,"Aarle-Rixtel",3346
BU07530019,"Aarlesche Erven",831
BU04320101,"Aartswoud",393
BU05032404,"Aart van der Leeuwbuurt",393
BU17110520,"Aasterberg",59
BU07960303,"Aawijk-Noord",632
BU07960211,"Aawijk-Zuid",1726
BU04200502,"Abbekerk Buitengebied",774
BU04200501,"Abbekerk Centrum",1365
BU03940986,"Abbenes",799
BU03940989,"Abbenes Dijk",3
BU03940987,"Abbenes Omgeving",1213
BU07360703,"Abcoude Buitengebied",96
BU06870003,"Abdij",953
BU07961003,"Abdijenbuurt",1312
BU08553702,"Abdij- en Torenbuurt",440
BU19010730,"Abessinië",68
BU03440521,"Abstede, Tolsteegsingel e.o.",540
BU05032600,"Abtswoude",503
BU05460001,"Academiewijk",481
BU19491501,"Achlum",428
BU00801103,"Achter de Hoven",929
BU05050105,"Achterhakkers en omgeving",38
BU19260223,"Achter het Raadhuis",1248
BU18960404,"Achter het Singel",787
